timestamp,plot_id,crop,soil_type,soil_moisture,temperature_c,pressure_hpa,rainfall_mm,et_mm_day,irrigation_mm,lora_received,class,status
2023-01-01 00:00:00,plot_00,Wheat,Black Soil,0.14560100956490857,29.1,9984.53,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 00:30:00,plot_00,Wheat,Black Soil,0.1414219267734289,29.08,9984.36,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 01:00:00,plot_00,Wheat,Black Soil,0.15077675005790872,29.06,9984.56,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 01:30:00,plot_00,Wheat,Black Soil,0.14543436873338572,29.05,9984.39,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 02:00:00,plot_00,Wheat,Black Soil,0.14,29.03,9984.42,0.0,0.5,15.0,False,Very Dry,0
2023-01-01 02:30:00,plot_00,Wheat,Black Soil,0.14854612929363836,29.02,9984.59,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 03:00:00,plot_00,Wheat,Black Soil,0.1518525649825994,29.0,9984.42,0.0,0.5,15.0,False,Very Dry,0
2023-01-01 03:30:00,plot_00,Wheat,Black Soil,0.14899721232659222,28.99,9984.27,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 04:00:00,plot_00,Wheat,Black Soil,0.14,28.97,9984.1,0.0,0.5,15.0,False,Very Dry,0
2023-01-01 04:30:00,plot_00,Wheat,Black Soil,0.14,28.96,9984.1,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 05:00:00,plot_00,Wheat,Black Soil,0.14,28.95,9984.3,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 05:30:00,plot_00,Wheat,Black Soil,0.14386757457273833,28.94,9984.13,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 06:00:00,plot_00,Wheat,Black Soil,0.14,28.92,9983.98,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 06:30:00,plot_00,Wheat,Black Soil,0.14,28.91,9984.16,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 07:00:00,plot_00,Wheat,Black Soil,0.14,28.9,9983.98,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 07:30:00,plot_00,Wheat,Black Soil,0.14,28.89,9984.16,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 08:00:00,plot_00,Wheat,Black Soil,0.14,28.88,9983.98,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 08:30:00,plot_00,Wheat,Black Soil,0.14312296760340923,28.87,9983.98,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 09:00:00,plot_00,Wheat,Black Soil,0.14788821208715447,28.86,9983.66,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 09:30:00,plot_00,Wheat,Black Soil,0.1487024705188986,28.85,9984.01,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 10:00:00,plot_00,Wheat,Black Soil,0.14039228731800601,28.83,9983.69,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 10:30:00,plot_00,Wheat,Black Soil,0.15129407132775466,28.82,9983.34,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 11:00:00,plot_00,Wheat,Black Soil,0.14,28.81,9982.83,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 11:30:00,plot_00,Wheat,Black Soil,0.14105804200769925,28.8,9982.52,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 12:00:00,plot_00,Wheat,Black Soil,0.14335732078376745,28.79,9982.52,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 12:30:00,plot_00,Wheat,Black Soil,0.14,28.79,9982.17,0.0,0.5,15.0,False,Very Dry,0
2023-01-01 13:00:00,plot_00,Wheat,Black Soil,0.14,28.78,9981.97,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 13:30:00,plot_00,Wheat,Black Soil,0.14,28.77,9981.83,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 14:00:00,plot_00,Wheat,Black Soil,0.14,28.77,9982.0,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 14:30:00,plot_00,Wheat,Black Soil,0.14212392455111758,28.76,9981.83,0.0,0.5,15.0,False,Very Dry,0
2023-01-01 15:00:00,plot_00,Wheat,Black Soil,0.14,28.75,9981.48,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 15:30:00,plot_00,Wheat,Black Soil,0.14,28.75,9981.66,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 16:00:00,plot_00,Wheat,Black Soil,0.14,28.74,9981.68,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 16:30:00,plot_00,Wheat,Black Soil,0.14,28.74,9982.02,0.0,0.5,15.0,True,Very Dry,0
2023-01-01 17:00:00,plot_00,Wheat,Black Soil,0.2066299010936725,28.73,9982.02,0.0,0.5,0.0,True,Dry,0
2023-01-01 17:30:00,plot_00,Wheat,Black Soil,0.24585084788117922,28.73,9982.02,0.0,0.5,0.0,False,Dry,0
2023-01-01 18:00:00,plot_00,Wheat,Black Soil,0.27375607331234914,28.82,9981.97,0.0,0.5,0.0,False,Wet,1
2023-01-01 18:30:00,plot_00,Wheat,Black Soil,0.3236427868437805,29.08,9982.14,0.0,0.5,0.0,True,Wet,1
2023-01-01 19:00:00,plot_00,Wheat,Black Soil,0.3236427868437805,29.4,9983.11,0.0,0.5,0.0,True,Very Wet,1
2023-01-01 19:30:00,plot_00,Wheat,Black Soil,0.3236427868437805,29.7,9983.69,0.0,0.5,0.0,True,Very Wet,1
2023-01-01 20:00:00,plot_00,Wheat,Black Soil,0.3236427868437805,29.92,9983.96,0.0,0.5,0.0,True,Very Wet,1
2023-01-01 20:30:00,plot_00,Wheat,Black Soil,0.3236427868437805,30.09,9984.13,0.0,0.5,0.0,True,Very Wet,1
2023-01-01 21:00:00,plot_00,Wheat,Black Soil,0.3236427868437805,30.21,9984.14,0.0,0.5,0.0,True,Very Wet,1
2023-01-01 21:30:00,plot_00,Wheat,Black Soil,0.3236427868437805,30.3,9984.55,0.0,0.5,0.0,True,Very Wet,1
2023-01-01 22:00:00,plot_00,Wheat,Black Soil,0.3236427868437805,30.36,9984.66,0.0,0.5,0.0,True,Very Wet,1
2023-01-01 22:30:00,plot_00,Wheat,Black Soil,0.3236427868437805,30.4,9984.95,0.0,0.5,0.0,True,Very Wet,1
2023-01-01 23:00:00,plot_00,Wheat,Black Soil,0.3236427868437805,30.42,9984.91,0.0,0.5,0.0,True,Very Wet,1
2023-01-01 23:30:00,plot_00,Wheat,Black Soil,0.3236427868437805,30.43,9984.56,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 00:00:00,plot_00,Wheat,Black Soil,0.32321232212769474,30.43,9984.73,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 00:30:00,plot_00,Wheat,Black Soil,0.32321232212769474,30.43,9984.4,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 01:00:00,plot_00,Wheat,Black Soil,0.32321232212769474,30.41,9984.23,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 01:30:00,plot_00,Wheat,Black Soil,0.32321232212769474,30.39,9984.61,0.0,0.5,0.0,False,Very Wet,1
2023-01-02 02:00:00,plot_00,Wheat,Black Soil,0.32321232212769474,30.37,9984.83,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 02:30:00,plot_00,Wheat,Black Soil,0.32321232212769474,30.34,9984.84,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 03:00:00,plot_00,Wheat,Black Soil,0.32321232212769474,30.31,9984.89,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 03:30:00,plot_00,Wheat,Black Soil,0.32321232212769474,30.28,9984.77,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 04:00:00,plot_00,Wheat,Black Soil,0.32321232212769474,30.24,9984.61,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 04:30:00,plot_00,Wheat,Black Soil,0.32321232212769474,30.2,9984.85,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 05:00:00,plot_00,Wheat,Black Soil,0.32321232212769474,30.17,9984.9,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 05:30:00,plot_00,Wheat,Black Soil,0.32321232212769474,30.13,9984.77,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 06:00:00,plot_00,Wheat,Black Soil,0.32321232212769474,30.12,9984.78,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 06:30:00,plot_00,Wheat,Black Soil,0.32321232212769474,30.08,9984.65,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 07:00:00,plot_00,Wheat,Black Soil,0.32321232212769474,30.05,9984.52,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 07:30:00,plot_00,Wheat,Black Soil,0.32321232212769474,30.01,9984.36,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 08:00:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.98,9984.26,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 08:30:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.94,9984.13,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 09:00:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.91,9984.17,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 09:30:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.88,9983.84,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 10:00:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.84,9983.88,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 10:30:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.81,9983.74,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 11:00:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.78,9983.75,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 11:30:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.75,9983.3,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 12:00:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.73,9983.31,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 12:30:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.7,9983.34,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 13:00:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.67,9983.52,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 13:30:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.64,9983.22,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 14:00:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.61,9982.91,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 14:30:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.59,9982.94,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 15:00:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.56,9982.6,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 15:30:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.53,9982.64,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 16:00:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.51,9982.33,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 16:30:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.48,9982.19,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 17:00:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.46,9982.02,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 17:30:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.43,9981.34,0.0,0.5,0.0,False,Very Wet,1
2023-01-02 18:00:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.42,9981.38,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 18:30:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.4,9981.38,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 19:00:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.38,9981.57,0.0,0.5,0.0,False,Very Wet,1
2023-01-02 19:30:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.36,9981.43,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 20:00:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.35,9981.6,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 20:30:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.33,9981.78,0.0,0.5,0.0,True,Very Wet,1
2023-01-02 21:00:00,plot_00,Wheat,Black Soil,0.32321232212769474,29.31,9982.12,0.0,0.5,0.0,False,Very Wet,1
2023-01-02 21:30:00,plot_00,Wheat,Black Soil,0.14,29.3,9982.5,0.0,0.5,15.0,False,Very Dry,0
2023-01-02 22:00:00,plot_00,Wheat,Black Soil,0.14,29.29,9982.67,0.0,0.5,15.0,True,Very Dry,0
2023-01-02 22:30:00,plot_00,Wheat,Black Soil,0.14,29.27,9982.53,0.0,0.5,15.0,True,Very Dry,0
2023-01-02 23:00:00,plot_00,Wheat,Black Soil,0.15462859451815347,29.26,9982.7,0.0,0.5,15.0,True,Very Dry,0
2023-01-02 23:30:00,plot_00,Wheat,Black Soil,0.16194013728284096,29.25,9982.73,0.0,0.5,15.0,True,Very Dry,0
2023-01-03 00:00:00,plot_00,Wheat,Black Soil,0.15560930011098453,29.24,9982.73,0.0,0.5,15.0,True,Very Dry,0
2023-01-03 00:30:00,plot_00,Wheat,Black Soil,0.14857879184607403,29.23,9982.88,0.0,0.5,15.0,True,Very Dry,0
2023-01-03 01:00:00,plot_00,Wheat,Black Soil,0.14253326472644737,29.21,9982.73,0.0,0.5,15.0,True,Very Dry,0
